thread_id,summary
184,"The email thread discusses the formation of Enron Global Services (EGS) to align asset-based businesses. The reorganization aims to enhance synergies, prioritize opportunities, and improve management of Enron's asset-based businesses worldwide. The email includes an organizational chart and lists the heads of various business units and staff functions. One email points out that some people were left off the chart, but it is clarified that the organization hasn't changed. Overall, the thread emphasizes the focus on maximizing Enron's return on assets through the new management team."
185,"Audrey Robertson from Transwestern Pipeline Company sent multiple emails regarding the Appreciation Luncheon for ETS' TW Teams. Due to conflicting schedules, the date of the luncheon was changed to Friday, October 5th. Audrey requested all invitees to respond by September 26th. Tracy confirmed her attendance but mentioned a possible conflict. Lynn and DS also confirmed their attendance. Audrey sent a reminder email for those who hadn't responded yet."
186,Dana informs the recipient about the dollars allocated to TW from NNG Commercial in the 2002 Plan. She asks them to disregard the previous version and mentions that the tasks/projects list is still applicable. Karl asks for clarification on new charges for IT and Accounting in the budget. Vince provides his allocations for 2002 and shares his home phone number for further communication. Becky receives a forwarded email from Vince asking her to review the attached file and update the allocation.
187,"Luchas is requesting Kam's help in compiling a list of daily reports run by Risk leads and Specialists for the estate. Luchas wants to ensure that no reports are being skipped or missed. The information will be forwarded to Greg Couch. Susan apologizes for the delay in responding, explaining that she was alone that day."
188,"Richard B. Sanders requested a generator counsel list from Terry Houlihan. Houlihan forwarded the list to Sanders multiple times. Houlihan also mentioned that if Sanders had collected a list of counsel for other parties, she would like to have it. The emails contain a disclaimer about the confidentiality and intended use of the information. The emails were sent from McCutchen, Doyle, Brown & Enersen, LLP."
189,"Lisa Bills has provided comments on the ABB Agreement, suggesting changes to the assignment language and purchase agreement. She questions the need for Enron to provide credit support to the JV/partnership/llc and raises concerns about the effective date and purchase amount reconciliation. Kay Mann forwards the comments to the team and mentions changes she has made to the assignment language. She also attaches the current draft of the contract, which includes revisions for delivery dates and installation obligations. The team is asked for any substantive comments and to finalize the agreement by the end of the week."
190,"The email thread discusses the charges associated with load deviation from schedule in the California Independent System Operator (CISO). Chris asks Jim to identify the penalties for deviation from schedule, and Jim shares Keoni's response that there are no penalty charges for loads, only load deviation charges like replacement reserves. Chris requests Jim to compile a list of charges associated with positive and negative load deviation and have Keoni review and sign off on it. They also discuss adding charge codes to the description and auditing the document to ensure it includes all current ISO charges."
191,Jun Wang from Enron Broadband Services apologizes for not being able to meet for the mid-year PRC and requests a meeting next week. Delainey sends an email outlining the PRC process and expectations for employee rankings. David Delainey thanks everyone for their efforts in the PRC process and provides further details on the process and action items. Kevin provides a summary of his job history and accomplishments. Alok Garg provides additional information about his rotations and nominating manager.
192,"The email thread discusses a draft request to FERC to extend the period allowed for the abandonment and replacement of compressors at Station 4 in the Transwestern Red Rock Expansion project. Keith suggests changes to the draft, while Bill expresses his understanding that an extension is necessary for Station 4 due to incomplete contracting for authorized capacity. Glen supports the idea of requesting an extension to maintain capacity. The thread also includes a brief discussion on the deadline for placing new facilities in service and the abandonment of existing facilities."
193,John Arnold is being questioned by Eva Pao about his bid of 0 for a company and the 100% information asymmetry. John asks if Eva has taken any finance courses and asks for recommendations.
194,"Mark Taylor has requested that confidentiality agreements for future projects be more specific about the nature of the project. Tana Jones will be out of the office on Monday and Tuesday, and Mark will handle getting the Continental agreement signed in her absence."
195,"This email thread discusses the Transaction Agreement between East Coast Power and Mesquite. Matt forwards the electronic version of the agreement to Richard Sanders. Lisa Mellencamp mentions that the credit event letters are referenced and attached to the agreement, and the spread calculations are tied to El Paso medium-term notes. Stacy Dickson and Tyrell Harrison also provide updates on the agreement. Chris requests Jason to send the revised version to GRE."
196,"The email thread includes various unrelated messages. The first email discusses a break-in at the office, with minor theft and damage. The second email is a brief message confirming a meeting. The third email is a response to a previous email, expressing the need for an announcement regarding a job change. The fourth email is a response to the previous email, discussing the sender's busy schedule and the need to complete performance reviews. The final email is a response to the previous email, expressing interest in continuing conversations and arranging a call."
197,"The email thread discusses the recent decision by the Commission regarding direct access. The decision included language related to DWR purchases and passing through DWR costs to customers. However, the decision removed the language on Direct Access, which means there is no language staying any Commission action on implementing the Direct Access prohibition. The decision was voted out 3-2, with the remaining Republicans dissenting. The Commission currently has no proposal to implement the prohibition, and there was no discussion of implementing it in the near future."
198,"The email thread consists of multiple unrelated messages. The first email is from Kurt Schier to Shelley Corman, discussing their adoption process and plans to visit each other. The second email is from Andy Zipper to Steve Meyer, asking for attorney recommendations. The third email is from Anne to Paul Lucci, discussing meeting up and expressing concerns about safety. The fourth email is from Espen Haug to Harry Arora, requesting a call to discuss their hedge fund. The fifth email is from Roy Ibasco to Harry Arora, updating him on his career and life in Hong Kong."
199,Jeffery Fawcett expresses frustration with the MKM cult's interference in sending proposals to Omaha. Mary Kay Miller asks for rate information to ensure accuracy in the proposal. Keith Petersen informs that he has not yet reviewed the proposal. Drew Fossum requests comments on the proposal. Jeffery Fawcett shares a broad outline of the rate proposal and asks for feedback. Drew Fossum approves the proposal and sends minor comments. Jeffery Fawcett plans to send the proposal by the end of the day.
200,"Debra Perlingiere sent an email to Theresa Staab with a revised confirmation. Theresa replied, acknowledging the revision and apologizing for the mix-up. She explained that she had given incorrect information and would be sending a new confirmation. Debra confirmed that she had a signed original and would fax it to Theresa. Theresa provided her fax number and apologized again for the mistake, attributing it to being out of practice after a vacation."
201,"The email thread consists of multiple individuals discussing their plans to visit Houston and meet with each other. They discuss potential dates and times for meetings, as well as locations for dinner. They also mention their appreciation for previous meetings and the exchange of knowledge and insights. The individuals mention their use of leading-edge practices in risk management and the importance of market price information. They also mention the use of mathematical models and the involvement of various professionals in their risk management processes. The thread concludes with expressions of enjoyment and anticipation for future meetings."
202,Monika informs Dave that she is working from home and reading a book from Esko Uutella Consulting. She mentions working on Abitibi's mills and sending the information to Dave. Monika also contacts RISI for the price series for MTH. Dirk asks if she was able to get the price series. Monika confirms that she contacted RISI and will receive it by email.
203,Leslie Hansen has been authorized to open TVA to trade US power on EnronOnline. TVA needs to receive an override letter for this. Tana Jones asks Leslie if they can open TVA. Teresa Mandola requests Tana to update her on the status of TVA and wants them to have the ability to trade on EnronOnline. Other emails discuss the progress and communication with TVA. Elizabeth promises to provide Kevin with the TVA letter and suggests a call on Tuesday.
204,"The email thread discusses two main issues facing Enron Europe and its directors. The first issue is the need for confirmation from the top executives, Jeff or Greg, that there is a positive prognosis for the future, ensuring that the company is not heading towards Chapter 11 bankruptcy. The second issue is the filing of accounts on a going concern basis, which requires adequate funds in the medium term to run the business. The directors are requesting more information and support from Corp to address these concerns and safeguard themselves personally."
205,"Mitch sent an email to Louise and copied several others, including Reagan, Bill, Larry, and Nick, regarding a draft business plan for the Southeast and Midwest regions. The plan is dependent on obtaining a power marketing license and lacks specific details until the buyer and financial information are known. Fletch forwarded the email to Kevin."
206,"Due to limited space, only 4 people can attend the Sitara training session. Daren suggests sending Liz, Mary, Susan, and Sabrae, while Russ will schedule another session for Tom, Eddie, and Mark. Daren also asks Pat for her opinion on sending the newest people to the first training. Russ requests an approximate head count for the training session and asks for any names of people who cannot attend."
207,"Janice noticed an error in the date on the ML&Co guarantee and informed Kate. Kate sent a revised Transfer and Assumption Agreement to all parties involved, including Merrill Lynch and Sullivan & Cromwell. Janice requested the inclusion of an additional clause in the agreement. Sara suggested a modification to paragraph 2 and mentioned working on the jurisdiction issue."
208,"Jeff Skilling is hosting an ""open mike"" session on eSpeak where employees can ask questions about Enron or the company's businesses. If unable to attend, employees can submit their questions online. Additionally, employees are encouraged to share cost-cutting ideas in the ThinkBank and participate in discussions on eMeet. The email is repetitive, emphasizing the opportunities for employees to engage with Jeff Skilling and contribute their ideas and opinions."
209,"Chris Germany informs the team about Lone Star sales to TXU for April 2002. He sold 10,000 dth at $3.17 for Thursday and 15,000 dth at $3.315 for Friday. Sabra confirms that everything is taken care of. Chris also mentions selling 10,000 of Conger gas and 5,000 of the Sprayberry to TXU. There is a brief exchange about the meaning of ""xoxo."""
210,"Enron and Salt River Project (SRP) are discussing a Master Purchase/Sale Agreement for physical natural gas transactions. Enron has sent SRP a draft ISDA (International Swaps and Derivatives Association) agreement, but SRP is unsure about the credit information in the annex. Kim Ward from Enron is the best person to talk to about the ISDA. SRP has attached their standard CSA (Credit Support Annex) and Schedule to the email. Mark Russell from SRP will be negotiating the agreement with Enron."
211,"The email thread discusses two slides in a presentation. Slide #17 cannot include the 2001 throughput numbers because the FERC Form 2's are not yet published. Slide #28 has a note at the bottom that says ""% of Revenue"" and the sender asks if they need to provide a number. One person questions why they can't use the 2001 numbers, suggesting that the limitation on publicly available information does not apply in this case since the presentation is for financing purposes."
212,"Carol St Clair forwards an email to Sara Shackleton and Tana Jones, mentioning that she can't recall if she had already sent it to them. The email contains a previous conversation between Carol and Suzanne Adams regarding reserved conference rooms. Suzanne confirms the reservation of rooms for specific dates and asks for the headcount for each meeting so she can order lunch. Carol then confirms the reservation details and asks which room they got for May 24th. Sara Shackleton later suggests that Kaye should focus on confirms/settlements, while Tana handles global contracts. Carol requests Sara and Tana to provide Suzanne with the headcount for different programs on specific dates."
213,"The email thread discusses the gas off TW at West Texas Pool, which is an expansion of the current Gallup deal. There are ideas being discussed for an operational sale in the San Juan and an exchange agreement in the Permian to free up physical space on the lateral. There is also mention of a conference call to discuss the Gallup expansion and the possibility of moving only the 850 MMcf/d on the San Juan lateral. The engineering team is working on the project, but there are concerns about missing an opportunity."
214,"Enron is offering REORIENTATION sessions to update employees on changes to business policies and procedures since filing for bankruptcy. The sessions will cover topics such as the Credit Union, the Enron Building, employee benefits, the Resolution Center, existing employee services, and employee self-service. The sessions will be held in EB5C2 and are limited to 50 participants, so RSVP is required. Some sessions are already full, but additional classes will be scheduled. For questions or suggestions, contact the designated person."
215,The email thread discusses the CES contracts that have not been assigned. Tanya Rohauer asks for verification of the active contracts and who is pursuing the assignments. She mentions Columbia's desire to reduce the guaranty and the need for Bryce Baxter to determine the receivable risk associated with the unassigned contracts. Jeffrey Gossett explains that the deals in the system are not at a fixed price and have no forward mark to market value. Tanya expresses confusion about the number of unassigned contracts and discusses specific deals with delivery risk. Debra Perlingiere mentions waiting for a response from Russell. Chris Germany suggests terminating ENA's agency for CES and CEM on Transco. Susan Flynn provides an updated chart and plans to follow up with certain counterparties. Dana Daigle suggests not sending CES a confirmation unless the deal is for 1 month or longer.
216,Lisa Gillette is leaving EnronOnline Operations and moving into Bob Shults' group with EnronOnline Marketing. She will still be sitting at her current desk. Tana Jones expresses surprise and asks where Lisa is going. Lisa informs everyone that Stephanie Sever will be taking over her responsibilities.
217,"Carlos Ruiz is requesting the inclusion of the value of the ENA/Garden State Paper (GSP) swap as a creditor in the GSP bankruptcy. The purpose is to demonstrate the claim that ENA has against GSP. Louis R. DiCarlo asks if he can provide a mark-to-market (MTM) on the position. Cheryl Lindeman is the internal attorney involved. Michelle suggests contacting Pat McCarthy for GSP employment matters. Stacy sends a draft of the services agreement with GSP to David, requesting a discussion and the addition of legal boilerplate."
218,"The email thread discusses the Enron Management Conference and a project to create humorous ""Home Videos"" to be presented at the conference. The videos should be no longer than five minutes and adhere to Enron's values. Business units should spend as little as possible, with a maximum budget of $10,000. The videos should be submitted by November 9th, and awards will be given for creativity and humor. There is a discussion about the budget for the videos, with one person suggesting a zero budget. The thread also includes a list of potential recipients for the project challenge."
219,"Jeff is asking Evelyn if her firm would be interested in signing a decent appeal. He also asks for Michael's contact information and offers to share some QF ideas. Evelyn responds that she is unsure if her firm will take any action on the appeal but mentions another case they have in development. She confirms that Michael does QF work and provides his contact number. In a separate email, Jeff informs Evelyn about the PUC denying applications for rehearing and suggests taking the case to the court of appeals. He also mentions wanting to discuss QF ideas with Michael. Evelyn replies that she is not sure about the appeal but will support the applications for rehearing. She asks Dan to send a final copy of the application. In another email, Jeff shares his amazement at what happened at the PUC meeting."
220,"The email thread discusses a contract with Greeley Gas Company. Veronica suggests changing the name on the contract to Atmos Energy Corporation, as they do term deals with Atmos. Debra confirms that the contract will be in the name of Atoms Energy Corp. Veronica also raises concerns about the legal validity of Greeley Gas Company as a division of Atmos Energy Corp. Debra provides a redline reflecting Greeley's comments on the credit sections of the contract. Veronica asks for clarification on the 3rd party debt and whether there is a master contract with Atmos Energy Corp."
221,Darron Giron lost his information due to a disk drive failure and requests David Plaisance's phone number. David informs Darron that the season tickets are in and suggests leaving them under the mat or FedExing them. Darron decides to pick up the tickets later and asks about the OU game. David misspells Darron's name and apologizes. Darron mentions that he may be in Austin later and asks David to hold on to the tickets. David confirms that the season tickets are in and asks how Darron wants to pick them up.
222,"In a meeting, it was decided that ENE will settle against the Real-Time hourly index published by the PJM ISO for VEPCO/Potomac interface + $5/MWh for delivery. The legal definition of the settlement index was reviewed and it was determined that the Floating Price during a Determination Period shall be the average of the hourly prices listed in the Index for electricity delivered during the applicable hours on each Delivery Day. It was also discussed that damages for failure to deliver scheduled energy should be considered, and a proposal of 150% of the index hourly price per hour of non-delivery was suggested."
223,Shelley Corman asks for the appropriate timing to schedule a follow-up visit for further immunizations after Alina's initial visit. Andy Brady follows up on a previous conversation and asks for confirmation if his notes accurately reflect the conversations. Chris requests resolution on certain issues from Gerald. Michelle asks Scott if he is available in the next couple of weeks to meet with HR representatives to discuss proactive measures for employees leaving the company.
224,"The email thread consists of notifications regarding changes in the payment and approval status of various expense reports. The first email states that the payment status is ""In Progress"" and was last changed by Marie Wallace. The second email mentions that the payment status is ""Authorized"" and was last changed by Kerry Harrington. The third email indicates that the approval status is ""Accounting Review"" and was last changed by Sherri Sera. Lastly, the fourth email states that the approval status is ""Pending"" and was last changed by the Automated Administrator. Each email provides a link to review the expense report on Concur Expense."
225,"Lynn asks Sheila for one of her nights next week to give to Laura for Astro tickets. Ricki informs Lynn that the tickets were given to Sheila for distribution, but they haven't been given out yet. Laura expresses interest in having tickets for the week of July 22nd to take her mother to the game. Lynn initially asks if anyone wants to take customers to the game, then later offers the tickets to Christine and Janet. Sherry asks John and Dutch if they have extra tickets for upcoming games to take her family."
226,"Jim is asking if everyone has access to the O Drive/Public Affairs directory to keep an external contact list and shared materials. Paul responds with confusion. Jim reassures Paul and says he will take care of it. Steve confirms that he has access and wishes everyone a happy holiday season. Jim sends the initial email to the entire team, expressing his desire for shared access and wishing everyone a safe and happy holiday season. Paul responds with confusion again, signing off as ""The Grinch."""
227,The email thread includes various updates and concerns. Sheri informs David about ongoing audits and new products being developed. She also mentions the need to push the profiles manager application and a new reporting application. Sheri is reviewing agreements and making suggestions for improvement in various applications. She also mentions staff assignments and training. Mark asks for Susan F.'s project list after her departure. Sara has questions about prioritizing workload and the impact on training. David mentions that there is no line of credit or money with Cargill. He suggests reviewing the next steps.
228,"TK informs Audrey and Kim that he will be out of the office on November 1st and 2nd in New York, and on November 7th, 8th, and 9th in Las Vegas. Audrey notifies the team that she will be on vacation on October 29th, but will be available via cell phone and will work from home. Marie requests a vacation day on October 5th, and Ava asks for half-day vacations on September 24th and 25th, as well as July 27th. Lynn approves all the vacation requests."
229,"Sarah is requesting a timeline for various ongoing proceedings at FERC from the project leads. She wants to keep track of the filing, comment, and action dates for each project. The projects mentioned include WestConnect RTO, Western Energy Infrastructure, and Marketing Affiliate Standards of Conduct. Sarah emphasizes the importance of staying on top of the proceedings due to the changing dates for interventions and comments. The project leads are asked to respond by the end of Wednesday. Jim expresses gratitude for the update."
230,Theresa thanks Ruth for a great evening and mentions meeting again for the Superbowl. Theresa also sends Ruth the Gas Daily pricing and mentions driving with Lucci. Theresa informs Ruth that they had to return for the weekend due to market conditions and wishes her a good weekend. Theresa plans to send Ruth an updated spreadsheet and mentions coming with the boys next Thursday.
231,"The email thread is about the Executive Impact & Influence Program survey. Participants are asked to provide feedback on their own management styles and practices as experienced by their immediate manager, direct reports, and colleagues. The feedback will be used to develop an action plan for improvement. Each participant is assigned a unique ID and must complete the assessment by a specified deadline. Technical support is available if needed. The feedback is crucial as the participant may have to cancel attendance if not enough feedback is received."
232,John Suttle informs the team that they need to send a confirmation to Twister Gas Services for a deal and attach an assignment of the deal from Twister to Sanguine. Both Terry and Todd need to sign both the confirmation and the assignment. Sheetal is asked to coordinate the steps through the Confirmation Desk. Carol mentions that she spoke to John and Susan Flynn will handle the confirmation. Sara reminds Susan to log the confirmation in.
233,"Steve received an email from Andy informing him about a significant rally in Jan, Feb, and Mar volumes, which increased by almost 3%. Steve asked for more details on where the rally occurred. He also expressed interest in one-time deals for Ercot in 2003 and made a bid for 3 pieces of summer daily Ercot calls. Steve then asked if there was any progress on deals for 2003."
234,"Jacek Kaca, a member of AIESEC Poland, requests Vince Kaminski's help in contacting former members of their local committee for an upcoming reunion. He also asks for any photos related to AIESEC for an exhibition. Biliana Pehlivanova, Vice President of Incoming Exchange at AIESEC Houston, invites Vince to a paintball game and a mock sales day to contribute his AIESEC and work experience. Shelly Jones informs Vince that Enron will not be participating in the AIESEC program due to restructuring."
235,"Susan is requesting Ellen to search for any ""live"" physical deals with a counterparty named US Brick Co. Ellen searches but finds no results. Susan then informs Ellen that the counterparty may also transact business under the name Tiffany Brick Company, L.P. and asks her to conduct another search under that name. Ellen asks if ""US Brick Co."" is the actual name of the counterparty, to which Susan confirms. It is revealed that the counterparty has not done any physical deals."
236,"The email thread involves multiple individuals discussing the need for a Non-Disclosure Agreement (NDA) with various parties. The thread includes requests for specific information such as legal names, addresses, and contact details. There are also suggestions for website improvements and discussions about executing and distributing NDAs. The thread spans multiple dates and involves different parties, including Enron employees and external contacts."
237,"The email thread discusses temperature and load data for different days, with comparisons between normal and actual temperatures and load values. The first email provides a summary of the data for Friday to Monday, mentioning routine operations and colder temperatures in March. The second email presents data for Friday to Monday, with lower actual temperatures on Saturday and Sunday. The third email includes data for Friday to Monday, with higher actual temperatures on Saturday and Sunday. The last email mentions a wrong attachment sent previously and provides a corrected draft for discussion."
238,"Cathy Phillips sent an email to notify everyone about the upcoming Enron Global Markets (EGM) All Employee Meeting. The meeting is scheduled for Monday, May 7, 2001, at the Hyatt Regency Hotel in Houston. The meeting will include a business meeting from 3:30-4:30 p.m. and cocktails and appetizers from 4:30-6:00 p.m. Cathy Phillips requested that assistants forward the message to their respective groups and encourage attendance. Vince Kaminski forwarded the email to others for their information."
239,"Louise Kitchen praised Bob Superty for his impressive presentation to the Peoples Energy Board of Directors. Sally informed Bob about the praise and shared a copy of the presentation, suggesting it could be used for internal purposes and external marketing. Bob requested a color printout of the presentation."
240,The email thread discusses the regulatory and legal issues surrounding a US corporation engaging in foreign exchange transactions with US and non-US customers. The US entity being considered is an FCM regulated by the CFTC and a member of NYMEX/COMEX. It currently clears the NY exchanges metals business and may clear the NY exchange energy business. The entity has a capital of $2 million and subordinated debt of $20 million. The potential business covers outright foreign exchange and the provision of EFP facilities. The email also mentions the need for a written summary and additional information about the US entity.
241,The email thread discusses the need to match data in an attached file to the detailed budgets and current estimates. Rod asks for help in understanding how the data aligns with the provided information. Steve responds by explaining where to find the relevant data in the attached file and offers to answer any further questions. Kyle also asks if there is volume and rate information for Northern Natural that can be tied to Rod's forecast. Steve later mentions contacting Steve Gilbert and Stephanie Korbelik for annual volumes and average rates. Rod also asks Kevin if he has the volume and rate information for Northern Natural.
242,"The email thread discusses the need for separate guaranties for each fund, specifically for Tiger. There is confusion about whether other animal guaranties are also being prepared. The lawyers are working on finalizing the response and addressing changes on the L/C side. There is a discussion about the timing and process for issuing the guaranty. One person is unable to speak due to laryngitis and suggests communicating through email or another person. There is mention of a blackline version and resolving issues related to the credit support annex and L/C default. The need for a conference call with Tiger is mentioned, as well as a routine follow-up from Harvard."
243,"Flu vaccines have arrived at the Health Center (EB307). Recipients are requested to visit between 8:00 a.m. - 3:30 p.m. on Monday, December 4th, or at their earliest convenience during the week. The waiting list will be notified via email as more vaccine shipments arrive."
244,"There is an urgent meeting tomorrow for employees who have accepted offers or intend to accept offers but have unresolved issues. Buses will be provided for transportation, and employees should assemble in the Java plaza area. The meeting will be presented by senior managers from UBS and will cover the firm's strategy. Breakfast and sandwiches will be available. Employees should bring their IDs or driver's licenses for access. Neil Daves apologizes for the short notice and asks for help in notifying those who may not receive the message in time. Amy provides additional details for the meeting."
245,"Ray is unable to host the call and asks for the agenda to be forwarded. The proposed agenda includes topics such as FERC's new RTO initiatives, ICAP in the West, and CA and PAC NW refund proceeding status. Alan adds an agenda item about a meeting called by Chairman Wood to address reliability issues. Ray also provides the call details and mentions the availability of the table of ongoing FERC issues. The previous emails include updates on various FERC proceedings and requests for input from the group."
246,"Wanda Curry is scheduling the initial meeting of the Operational Risk Management task force. The agenda includes topics such as defining operational risk for Enron, setting goals, developing a common language, and identifying a framework for monitoring risk. The task force aims to mitigate Enron's exposure to operational risk and develop reporting guidelines. Representatives from various departments will be included, and additional expertise may be consulted. Rick Buy has asked Wanda Curry to lead the cross-functional team responsible for operational risk management."
247,Kathy will receive the trophy for Kali at her house. Susan will send the $6 to Kathy. Kali did not enjoy the soccer season and will not attend the last game due to a schedule conflict. Susan requests that Kathy does not order a trophy for Kali. Susan also asks about the U10 girls coaches. Sara and Carson plan to have dinner after October 15. Timothy proposes a $50 bet on the Tigers.
248,"Regent Energy has partnered with Millennium Energy Ventures to develop a 500 MW power plant in San Juan County, NM. Regent will own 75% of the project, while MEVCO will own the remaining 25%. The estimated cost of the project is $250 million. MEVCO will manage the permitting and construction process, while Regent will provide financing. The project will require gas supply, but the supplier has not been determined yet. The acquisition of gas fields in the Four Corners area will provide some of the supply, with the rest coming from other San Juan producers."
249,"Chris Germany asks John Singer if they have any Mountaineer or West Virginia production. John Singer responds that they do not have Mountaineer production and that CES never wanted to buy it due to daily balancing issues. Chris Germany then asks if they have any contacts to buy from, to which John Singer responds that he does not. Mountaineer production is typically sold on term deals. CES needs 17dts/day of Mountaineer gas for the rest of March, and the request was made by Kim Novesak. Chris Germany will be out in the afternoon and provides contact information for Brian Perrone and Scott Goodell."
250,Lin is requesting Carol to call Leslie Hansen regarding power issues. Lin also thanks Carol for her help with an agreement and asks for a contact at Enron Power Marketing for a similar agreement. Carol provides her fax number and sends a revised letter. Lin asks Carol if language can be added to the letter agreement instead of creating a separate cover sheet for each counterparty. Carol sends revised versions of the letter and Lin suggests discussing possible solutions over the phone.
251,"The email thread discusses a request to create new gas books and attach Gas Daily (I and Y risk types) to existing books. Jon Paul Lewis informs the recipients that gas books for the top half of the list have already been created and need to be modified. Cecilia Cheung asks if she should proceed with creating books in ERMTT, ERMTP, and ESTERMTP. Bill Hare completes the request for book setups and attaches the completed sheet. Fran Chang advises waiting for further instructions from Stacey White."
252,"Marlene Hilliard is seeking clarification from Gerald Nemec regarding the assignment of contracts from Oasis Pipe Line Company and Enron North America Corp. to Houston Pipe Line Company. She has received amendments to these contracts and wants to know if she should route them for signature. Additionally, Marlene asks Daren J Farmer about terminating three other contracts and requests information on any deals attached to them."
253,"The New York State Public Service Commission has approved the joint settlement in the Central Hudson Rate Case. The back out credits for different customer categories have been set, and these credits will be in effect until the completion of the Unbundling Proceeding. The settlement has had a positive impact on the value of the IBM position. There is potential for improvement in the retail market, as EES may be able to start marketing in the Central Hudson territory and all customers are entitled to benefits from the transition power agreement and purchase power agreement."
254,"Enron Corp. has announced several name changes for its subsidiaries. Tacke Sverige AB is now Enron Wind Sverige AB, Enron Broadband Services Singapore Pte Ltd is now Enron Broadband Services Asia/Pacific Pte Ltd, Enron Netherlands Generation B.V. is now Energy Development Company B.V., and Enron Mexico Holdings 3 Ltd. is now Enron BW Holdings Ltd. Evidence of these changes is stored in the Houston 48th floor corporate vault. Kate B. Cole, Director of Corporate Services, requests that this information be shared with relevant parties."
255,"Bob informs Stacey that he has added Michelle Bruce to the list. Stacey agrees with the addition. Bob sends an email to Trey, Edie, and Faith, asking them to review the attached 2002 budget. Stacey responds, saying that the budget looks good and she agrees with the headcount change. Mark Pickering, the Chief Technology Officer, expresses hope that Will's numbers align with theirs. Louise comments that they are making outstanding progress. Lloyd sends a draft spreadsheet of the budget, mentioning that the overall IT budget has been reduced. David provides Bill with a G&A Expense worksheet for next year's budget and asks for completion by the end of the week."
256,"The Enron Kids Committee is organizing the Adopt A Child Program for an underprivileged HISD elementary school. The program involves sponsoring each child by providing them with clothes, toys, and books. The goal is to adopt all 468 children, but so far only 216 have been adopted. Employees are encouraged to contribute $100 per child, and all funds will be matched by the Enron Foundation. Volunteers are also needed for shopping. Some employees express their support and willingness to participate, while others question whether the funds will still be matched due to a program suspension announcement."
257,"The email thread discusses a staff meeting to discuss recent developments in the electric industry. The topics to be covered include the factors that determine the location of power plants, the variation in transmission access and pricing rules, the fuel supply strategies of independent power producers, the RTO Rule, and the impact of $5/mmbtu gas on the gas-fired power market. The discussion provides insights into the economics of energy delivery, the challenges of permitting for transmission lines, and the potential benefits and limitations of RTOs."
258,"Mike tried using a sheet but failed and asked Aaron for help. Aaron sent Mike a variable cost sheet with products linked to Reuters, but Mike requested the attachment. Aaron apologized for the oversight and sent the attachment."
259,"Mark Taylor sends an email to a group, attaching the Risk Management & Trading Corp. (""RMT"") guidelines as a reminder. He mentions that the guidelines have not changed since Rhett's memo last year. Rhett Jackson forwards the guidelines, stating that they should be distributed to others involved in the confirmation process. There are subsequent forwards of the same email."
260,"The email thread consists of various conversations. The first email is a brief message from Dutch Quigley expressing love for Kay Quigley and mentioning checking on little Rex. The second email is from Kate, who thanks the sender for pictures and talks about a recent party and reconnecting with someone. The third email is from Jennifer White, who responds to John Arnold's question about the Knights of Columbus and provides a link to their website. The fourth email is John Arnold's response, asking about selling his vote. The fifth email is Jennifer White's response, providing a link to a site for voting information and expressing support for the Yankees. The final email is a casual conversation between two individuals discussing their weekends and upcoming plans."
261,"Vince reached out to Duane Seppi for help with research on applying Monte Carlo methods to value swing and other options in energy markets. Duane requested examples of typical terms for such instruments to ensure realism and focus on the right types of optionality. Vince apologized for the delay and promised to respond soon. Vince then forwarded the email thread to Zimin Lu, asking him to call Duane with the requested information."
262,"The email thread discusses the purchase of new shorts. Frank Hayden informs John Lavorato that TDS estimates the desk is getting a shorter price and they are confirming the exact number with desk heads. John Lavorato mentions that he has bought 5800 contracts non pv'd and believes Zufferli has bought 3000 non pv'd as well. The thread also mentions that TDS shows the desk has sold 11,000."
263,"Chris informs Tracy that he has reversed the signs on the CF schedule as requested. Shonnie sends a redlined version of the schedules with changes for sales/use taxes on EMS materials, while noting that all other supplements remain unchanged. Shonnie also shares the latest schedules and supplements, mentioning that they are still waiting for the revised financial statements."
264,"Tom Nemila requests clarification on turbine performance at the Trent Mesa and Clear Sky projects. He needs availability and average monthly wind speed for Trent and Clear Sky, as well as the curtailment number for Clear Sky in March. Jay Godfrey from AEP has indicated that this information will impact their decision on using the 1.5 for future projects. Sheila Nacey adds a column to the ENA spreadsheet as requested. Stacey asks for the unarchive shortcut to 2000 data. Mike submits an SRRS request for Tana."
265,"The email thread consists of two forwarded emails from SOblander at Carr Futures. The emails contain a disclaimer about the information provided and offer access to charts on option candlesticks. The charts can be accessed through a web link or requested via email. The emails also provide contact information for Carr Futures. The emails are identical, indicating a possible error in forwarding."
266,Rhonda Denton received an email from Carol St. Clair regarding the reconciliation of a list of trades with John Lepore at Select Energy. Lepore needs more information about the trades to proceed. Rhonda provided Carol with an updated list of trades from 5/1/01 onwards. Carol requested that all outstanding transactions be included. Phyllis Lemell mentioned that there are some minor issues to be resolved before finalizing the letter of credit and coordinating the attachment containing the list of prior transactions.
267,The headhunter wants to speak with the recipient. Jeff provides his phone number for contact. Lisa asks Lindy to call her regarding package delivery and asks for Lindy's location. Lisa also provides Jeff's phone number. Steve mentions Hesco additional collateral and Noresco's focus on 10 or 20 years. Steve also mentions Eric's meeting with KinderMorgan and Calpine and offers to attend in Steve's place.
